Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
813,GO-20161443064,2016,D51,Other,1471233600000,73,Moss Park (73),43.6573067,-79.3734589,114
814,GO-2016666749,2016,D51,Other,1461038400000,68,North Riverdale (68),43.6661606,-79.3529129,115
815,GO-20161480338,2016,D14,Shooting,1471752000000,82,Niagara (82),43.6419144,-79.4127045,116
816,GO-20161506128,2016,D43,Other,1472097600000,139,Scarborough Village (139),43.7395859,-79.2228241,117
817,GO-20161506128,2016,D43,Other,1472097600000,139,Scarborough Village (139),43.7395859,-79.2228241,118
818,GO-20161506128,2016,D43,Other,1472097600000,139,Scarborough Village (139),43.7395859,-79.2228241,119
819,GO-20161520715,2016,D55,Shooting,1472270400000,70,South Riverdale (70),43.6600647,-79.3523102,120
820,GO-20161613172,2016,D14,Shooting,1473566400000,85,South Parkdale (85),43.6373482,-79.4253387,121
821,GO-20161625137,2016,D31,Stabbing,1473739200000,27,York University Heights (27),43.7685204,-79.5005569,122
822,GO-20161696689,2016,D43,Stabbing,1474603200000,127,Bendale (127),43.7743988,-79.2535477,123
823,GO-20161688118,2016,D11,Other,1474430400000,91,Weston-Pellam Park (91),43.6702118,-79.4570313,124
824,GO-20161743137,2016,D23,Shooting,1475208000000,1,West Humber-Clairville (1),43.7341003,-79.6099167,125
825,GO-20141435425,2014,D51,Other,1391058000000,75,Church-Yonge Corridor (75),43.6543236,-79.3787689,126
826,GO-20161838374,2016,D12,Shooting,1476590400000,113,Weston (113),43.7006035,-79.5177917,127
827,GO-20161855287,2016,D23,Shooting,1476763200000,1,West Humber-Clairville (1),43.7470398,-79.6001587,128
828,GO-20161888229,2016,D23,Shooting,1477281600000,6,Kingsview Village-The Westway (6),43.6995316,-79.5563736,129
829,GO-20161907779,2016,D43,Shooting,1477540800000,137,Woburn (137),43.7640533,-79.2056274,130
830,GO-20161966289,2016,D14,Other,1478318400000,81,Trinity-Bellwoods (81),43.6554642,-79.4126129,131
831,GO-20162051533,2016,D33,Shooting,1479445200000,43,Victoria Village (43),43.7260284,-79.3135223,132
832,GO-20162055725,2016,D31,Shooting,1479531600000,24,Black Creek (24),43.769165,-79.5187607,133
833,GO-20162106299,2016,D55,Shooting,1480222800000,70,South Riverdale (70),43.6617737,-79.3529434,134
834,GO-20162138470,2016,D32,Other,1480741200000,33,Clanton Park (33),43.7506409,-79.4415665,135
835,GO-20162148586,2016,D31,Stabbing,1480827600000,25,Glenfield-Jane Heights (25),43.7553139,-79.5269089,136
836,GO-20162172757,2016,D54,Shooting,1481086800000,58,Old East York (58),43.6937408,-79.3427277,137
837,GO-20162210973,2016,D43,Shooting,1481691600000,139,Scarborough Village (139),43.7450218,-79.219696,138
838,GO-20162229166,2016,D14,Stabbing,1481864400000,83,Dufferin Grove (83),43.6527443,-79.4316788,139
839,GO-20162233489,2016,D12,Shooting,1481950800000,113,Weston (113),43.700161,-79.5162048,140
840,GO-20162242930,2016,D23,Shooting,1482037200000,6,Kingsview Village-The Westway (6),43.7013283,-79.5486755,141
841,GO-20162276833,2016,D51,Stabbing,1482555600000,73,Moss Park (73),43.6561661,-79.3701248,142
842,GO-201743106,2017,D51,Shooting,1483851600000,73,Moss Park (73),43.6548576,-79.3679428,143
843,GO-2016215657,2016,D42,Other,1454648400000,132,Malvern (132),43.8065376,-79.2186508,144
844,GO-2016215657,2016,D42,Other,1454648400000,132,Malvern (132),43.8065376,-79.2186508,145
845,GO-2016215657,2016,D42,Other,1454648400000,132,Malvern (132),43.8065376,-79.2186508,146
846,GO-2016215657,2016,D42,Other,1454648400000,132,Malvern (132),43.8065376,-79.2186508,147
847,GO-2017137133,2017,D31,Shooting,1485147600000,21,Humber Summit (21),43.7559853,-79.5704193,148
848,GO-2017163412,2017,D22,Other,1485406800000,17,Mimico (includes Humber Bay Shores) (17),43.6120872,-79.5158234,149
849,GO-2017186988,2017,D51,Shooting,1485752400000,73,Moss Park (73),43.6516075,-79.3710785,150
850,GO-2017189239,2017,D51,Shooting,1485752400000,72,Regent Park (72),43.6629715,-79.3623352,151
