id,lat,long,occurrencedate,reporteddate,premisetype,offence,MCI,division,neighbourhood
18047,43.6577797,-79.5823669,2019-06-29,2019-07-24,House,Assault,Assault,D22,Eringate-Centennial-West Deane (11)
18048,43.6511993,-79.391655,2019-06-29,2019-06-29,Commercial,B&E,Break and Enter,D52,Kensington-Chinatown (78)
18049,43.6570396,-79.3812256,2019-06-29,2019-06-29,Commercial,Assault,Assault,D52,Bay Street Corridor (76)
18050,43.6845474,-79.3766403,2019-06-29,2019-06-29,House,Assault,Assault,D53,Rosedale-Moore Park (98)
18051,43.7198334,-79.5138016,2019-06-29,2019-06-29,Outside,Aggravated Assault,Assault,D31,Downsview-Roding-CFB (26)
18052,43.6859818,-79.3562927,2019-06-29,2019-07-02,Other,Assault,Assault,D54,Broadview North (57)
18053,43.6573067,-79.3734589,2019-06-29,2019-06-29,Outside,Assault Bodily Harm,Assault,D51,Moss Park (73)
18054,43.7679825,-79.4401398,2019-06-29,2019-07-01,House,Assault,Assault,D32,Willowdale West (37)
18055,43.6676369,-79.3722076,2019-06-29,2019-06-29,Commercial,Assault,Assault,D51,North St.James Town (74)
18056,43.6619186,-79.3538895,2019-06-29,2019-06-29,House,Assault With Weapon,Assault,D55,South Riverdale (70)
18057,43.6655273,-79.4992065,2019-06-29,2019-06-29,Apartment,Assault With Weapon,Assault,D11,Lambton Baby Point (114)
18058,43.6257057,-79.4859543,2019-06-29,2019-06-29,Apartment,Assault,Assault,D22,Mimico (includes Humber Bay Shores) (17)
18059,43.6638374,-79.4172134,2019-06-29,2019-06-29,Commercial,Assault,Assault,D14,Annex (95)
18060,43.7543221,-79.4802856,2019-06-29,2019-06-29,Outside,Assault,Assault,D31,York University Heights (27)
18061,43.6619186,-79.3538895,2019-06-29,2019-06-29,House,Assault,Assault,D55,South Riverdale (70)
18062,43.6949883,-79.4418182,2019-06-29,2019-06-29,Outside,Robbery - Mugging,Robbery,D13,Oakwood Village (107)
18063,43.6484909,-79.4358063,2019-06-29,2019-06-29,House,Unlawfully In Dwelling-House,Break and Enter,D11,Little Portugal (84)
18064,43.6619949,-79.4308548,2019-06-29,2019-06-29,Apartment,Assault,Assault,D14,Dovercourt-Wallace Emerson-Junction (93)
18065,43.7181282,-79.5990524,2019-06-29,2019-06-29,Outside,Theft Of Motor Vehicle,Auto Theft,D23,West Humber-Clairville (1)
18066,43.812748,-79.2170029,2019-06-29,2019-06-29,Apartment,Assault With Weapon,Assault,D42,Malvern (132)
18067,43.7233849,-79.3021011,2019-06-29,2019-06-29,Commercial,Assault - Resist/ Prevent Seiz,Assault,D41,Clairlea-Birchmount (120)
18068,43.6526833,-79.3780899,2019-06-29,2019-06-29,Other,Assault,Assault,D51,Church-Yonge Corridor (75)
18069,43.7654495,-79.1994705,2019-06-29,2019-06-29,Apartment,Assault With Weapon,Assault,D43,West Hill (136)
18070,43.6552353,-79.4023361,2019-06-29,2019-06-29,Apartment,B&E,Break and Enter,D14,Kensington-Chinatown (78)
18071,43.7868538,-79.4420853,2019-06-29,2019-06-29,House,Assault,Assault,D32,Newtonbrook West (36)
18072,43.8035202,-79.1636581,2019-06-29,2019-06-29,Outside,Theft Of Motor Vehicle,Auto Theft,D42,Rouge (131)
18073,43.641552,-79.4745407,2019-06-29,2019-06-29,Apartment,Assault,Assault,D11,High Park-Swansea (87)
18074,43.641552,-79.4745407,2019-06-29,2019-06-29,Apartment,Assault With Weapon,Assault,D11,High Park-Swansea (87)
18075,43.6994324,-79.4759674,2019-06-29,2019-06-29,Commercial,Assault,Assault,D12,Brookhaven-Amesbury (30)
18076,43.7752457,-79.3230133,2019-06-29,2019-06-29,Outside,Assault,Assault,D42,Henry Farm (53)
18077,43.7805405,-79.2470245,2019-06-29,2019-06-29,Apartment,Assault,Assault,D43,Woburn (137)
18078,43.7233849,-79.3021011,2019-06-29,2019-06-29,Commercial,Assault - Resist/ Prevent Seiz,Assault,D41,Clairlea-Birchmount (120)
18079,43.6405869,-79.4366684,2019-06-29,2019-06-29,Outside,Robbery - Mugging,Robbery,D11,Roncesvalles (86)
18080,43.812748,-79.2170029,2019-06-29,2019-06-29,Apartment,Assault With Weapon,Assault,D42,Malvern (132)
